round,candidate,density_scale,hmf2_shift_km,total_score,return_distance,nose,ridge
0,1,0.9,0.0,0.8996950912464894,0.8176274386299808,1.0,1.0
0,2,0.91,0.0,0.8906200990362694,0.8019045811687266,1.0,0.9978628969673484
0,3,0.92,0.0,0.8814094945129933,0.7873915135898626,1.0,0.9917208101928445
0,4,0.93,0.0,0.8548014015395189,0.7706147267873764,0.9375000000000007,0.9829415090323079
0,5,0.94,0.0,0.8233777845629173,0.745734282527753,0.8750000000000013,0.9723696458632644
0,6,0.95,0.0,0.7943251325317031,0.7258939324546121,0.812500000000001,0.9597923484083306
0,7,0.96,0.0,0.7643836532430435,0.704922581804736,0.7500000000000001,0.9458811662521929
0,8,0.97,0.0,0.7493059925757585,0.6830297932566951,0.7500000000000001,0.9306980314228808
0,9,0.98,0.0,0.7180720073209177,0.6604899383465737,0.6874999999999998,0.9146377061515111
0,10,0.99,0.0,0.6832342696855532,0.6320691639548337,0.625,0.8967311475519728
0,11,1.0,0.0,0.6504854002628733,0.6081056160310225,0.5625000000000002,0.8770115572290538
0,12,1.01,0.0,0.6181163542561368,0.5849093335616433,0.5000000000000004,0.8570811039861637
0,13,1.02,0.0,0.5980347086138821,0.5565348402540463,0.5000000000000004,0.8347027323707823
0,14,1.03,0.0,0.5669946763601976,0.5365027725579354,0.43750000000000067,0.8127157572666645
0,15,1.04,0.0,0.5314572582112338,0.5091434114879819,0.3750000000000009,0.7883919094642178
0,16,1.05,0.0,0.49565046347727715,0.48168374996703395,0.3125,0.7629970049770425
0,17,1.06,0.0,0.4653510705992876,0.4648311509261673,0.2500000000000002,0.7359696879494775
0,18,1.07,0.0,0.440432084364193,0.43049788419100793,0.2500000000000002,0.705791240295693
0,19,1.08,0.0,0.40719167476574697,0.4097630948499564,0.18750000000000044,0.6747348629913541
0,20,1.09,0.0,0.371992332441594,0.38607946209337585,0.12499999999999956,0.6419931414511868
0,21,1.1,0.0,0.3330091823066958,0.356164295735382,0.06249999999999978,0.6074690982611787
0,22,1.11,0.0,0.3138536944225008,0.3376584556950137,0.06249999999999978,0.5625827189512163
0,23,1.12,0.0,0.2719276293539723,0.30838323076118385,0.0,0.511584262176606
0,24,1.13,0.0,0.27025046392954827,0.2920412390340042,0.06249999999999978,0.47001391230423
0,25,1.14,0.0,0.2719027255524382,0.27726203099670904,0.12499999999999956,0.44079304252124174
0,26,1.15,0.0,0.24857224579065507,0.2472699610949451,0.12499999999999956,0.40661883594217674
0,27,1.16,0.0,0.2538674214437306,0.23765319467413307,0.18749999999999933,0.38141582186478784
0,28,1.17,0.0,0.26071385035002426,0.22959183871555788,0.2500000000000002,0.3596916952823368
0,29,1.18,0.0,0.26414312287577135,0.2147601593762098,0.3125000000000011,0.3395001760942784
0,30,1.19,0.0,0.2552725468708592,0.2067752425067316,0.3125000000000011,0.3171058174607827
0,31,1.2,0.0,0.260724141636368,0.1966515103246327,0.3750000000000009,0.29407905478909857
0,32,1.21,0.0,0.2695664414830843,0.18996858237988645,0.43750000000000067,0.27854360587073285
0,33,1.22,0.0,0.2831427287318799,0.19038317532698956,0.5000000000000004,0.2671599115101777
0,34,1.23,0.0,0.27910830269587894,0.18675730702724092,0.5000000000000004,0.25695891915448155
0,35,1.24,0.0,0.29390932664949354,0.18856501573666026,0.5625000000000002,0.24786783997165174
0,36,1.25,0.0,0.30900173131082365,0.19054059148891045,0.625,0.2397720299596146
0,37,1.26,0.0,0.30706049769269483,0.1889251443936894,0.625,0.2345083413808284
0,38,1.27,0.0,0.3264565257590947,0.196439924733213,0.6875000000000009,0.23269783577913655
0,39,1.28,0.0,0.34436055378812563,0.20113535523194037,0.7500000000000007,0.23118054205279123
0,40,1.29,0.0,0.36268347965857634,0.20786798715583177,0.8125000000000004,0.22615543361434368
1,1,1.022627601501,0.964336779182,0.578476975765287,0.5328801444217426,0.5000000000000004,0.8019644816666422
1,2,1.045790574901,0.563465733615,0.50878223800717,0.4795398475896723,0.3750000000000009,0.7564266091642504
1,3,1.086648365184,-5.411392146827,0.490709146159888,0.5075814220656251,0.18750000000000044,0.8233218201189701
1,4,1.10170126414,-7.329315606448,0.48642651117642843,0.5217840044411521,0.12499999999999956,0.840976543668974
1,5,1.144049393217,-2.063000246577,0.30431374105602393,0.3151986523876033,0.12499999999999956,0.4985224112142109
1,6,1.162726766504,2.158134215355,0.21681107895533494,0.2002598506708969,0.18749999999999933,0.2989658054317089
1,7,1.203847068416,-7.545931121836,0.35060234507382065,0.3099316349167489,0.3125000000000011,0.5100747293480423
1,8,1.219111116404,-6.542046898277,0.35100859291425907,0.2779670902578028,0.43750000000000067,0.4437584663623366
1,9,1.012344302829,14.178054532855,0.382251339024438,0.2881569603781787,0.5625000000000002,0.415700054082198
1,10,1.038508252996,10.286229802572,0.37131443244333256,0.30674495271912916,0.43750000000000067,0.4661485422390568
1,11,1.076925190942,11.770461811058,0.23268794972614515,0.20595965742860456,0.2500000000000002,0.28455069070206285
1,12,1.108626875574,13.954989404029,0.05772718498744453,0.04687695592523803,0.06249999999999978,0.08159929614281836
1,13,1.117937152068,10.576825906948,0.11277102470243366,0.11639866405136756,0.06249999999999978,0.1656337973709078
1,14,1.153781195765,5.483947564148,0.1565450400498975,0.15528711844349263,0.12499999999999956,0.1994356245298832
1,15,1.19316428736,8.692596348794,0.15259603761910426,0.08873793445496973,0.3125000000000011,0.12832586834435322
1,16,1.222937946032,4.173223072832,0.21199694148491374,0.1252420368582896,0.43750000000000067,0.16869410606427143
1,17,1.001782212412,16.070337582922,0.37063825214454493,0.2765946624391503,0.5625000000000002,0.38943093901506065
1,18,1.028250737989,22.422829936962,0.23638881171496423,0.16097741149932143,0.43750000000000067,0.19238117695168644
1,19,1.082416745044,23.639830913319,0.20581640120782874,0.18970662489466047,0.18750000000000044,0.2730137875788267
1,20,1.095351097503,22.106249686458,0.17397301053436712,0.16981983815423787,0.12499999999999956,0.24661049774768193
1,21,1.146211059507,25.892365983354,0.31514699305463345,0.33860603532871275,0.06249999999999978,0.5664433681192074
1,22,1.173302493386,22.015642914684,0.34516161895920855,0.3188234967523999,0.2500000000000002,0.5365434787269427
1,23,1.203569710434,17.244541912433,0.3476684653732638,0.2917872787800261,0.3750000000000009,0.4671773102212462
1,24,1.209488148806,18.933998421259,0.40543997475952415,0.3421344487443557,0.43750000000000067,0.5394551397506417
1,25,1.009207013644,31.056252500625,0.34521784630356467,0.24453506962909277,0.5625000000000002,0.350492790037818
